title,cuisine,ingredients,clean_ings_str,url,img_src
Apple-Cranberry Crostada,Desserts,"3 tablespoons butter, 2 pounds Granny Smith apples (or other firm, crisp apples), peeled, quartered, cored and sliced 1/4-inch thick, 1 pound Macintosh apples (or other soft-textured apples that fall apart when cooked), peeled, quartered, cored, and sliced 1/4-inch thick, ½ cup sugar, ½ cup dried cranberries, 1 sheet frozen puff pastry, thawed but still cold (follow package directions), 1  egg white, lightly beaten, 1 tablespoon sugar, 1 cup Optional: Ice cream or lightly sweetened whipped cream",tablespoon butter pound granny smith apple firm crisp apple peeled quartered cored inch thick macintosh apple soft textured apple fall apart cooked peeled quartered cored inch thick sugar dried cranberry sheet puff pastry thawed still cold follow direction egg white lightly beaten sugar optional ice cream lightly sweetened whipped cream,https://www.allrecipes.com/recipe/76931/apple-cranberry-crostada/,https://www.allrecipes.com/thmb/Tf1wH73bfH6OqlfQySSDtMaP-nw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/517708-5f57072dedb04a389edab3e141517d4d.jpg
Apple Pie by Grandma Ople,Desserts,"8 small Granny Smith apples, or as needed, ½ cup unsalted butter, 3 tablespoons all-purpose flour, ½ cup white sugar, ½ cup packed brown sugar, ¼ cup water, 1 (9 inch) double-crust pie pastry, thawed",granny smith apple needed unsalted butter tablespoon purpose flour white sugar packed brown sugar water inch double crust pie pastry thawed,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,https://www.allrecipes.com/thmb/1I95oiTGz6aEpuHd2DAr33w7Mgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12682-apple-pie-by-grandma-ople-natasha-titanov-1x1-1-7f1cd9f631d24ff0b90cac0163247686.jpg
Sarah's Homemade Applesauce,Side Dish,"4  apples - peeled, cored and chopped, ¾ cup water, ¼ cup white sugar, ½ teaspoon ground cinnamon",apple peeled cored water white sugar ground cinnamon,https://www.allrecipes.com/recipe/51301/sarahs-applesauce/,https://www.allrecipes.com/thmb/VY5d0tZHB8xz6y-ef586jR050FE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/25840-Sarahs-Applesauce-2000-56080bc8aac64df59aeec895f1875fc0.jpg
Apple Crisp,Desserts,"10 cups all-purpose apples, peeled, cored and sliced, 1 cup white sugar, 1 tablespoon all-purpose flour, 1 teaspoon ground cinnamon, ½ cup water, 1 cup quick-cooking oats, 1 cup all-purpose flour, 1 cup packed brown sugar, ¼ teaspoon baking powder, ¼ teaspoon baking soda, ½ cup butter, melted",cup purpose apple peeled cored white sugar purpose flour ground cinnamon water quick cooking oat purpose flour packed brown sugar baking powder baking soda butter melted,https://www.allrecipes.com/recipe/12409/apple-crisp-ii/,https://www.allrecipes.com/thmb/uAzhPOh86PfR-NIT1_dQ5c9bhag=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12409-apple-crisp-MFS-027-c2f142105db44206856af57c388db3ee.jpg
Apple Pie Filling,Desserts,"18 cups thinly sliced apples, 3 tablespoons lemon juice, 10 cups water, 4 ½ cups white sugar, 1 cup cornstarch, 2 teaspoons ground cinnamon, 1 teaspoon salt, ¼ teaspoon ground nutmeg",cup thinly apple tablespoon lemon juice cup water cup white sugar cornstarch teaspoon ground cinnamon salt ground nutmeg,https://www.allrecipes.com/recipe/12681/apple-pie-filling/,https://www.allrecipes.com/thmb/c0bbYaS1V_mTt_fb85yo0gPcYUM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12681-apple-pie-filling-beauty-1x1-BP-2876-ed43a184f9564f4a8dc893c4ae8d561f.jpg
Easy Apple Crisp with Oat Topping,Desserts,"6  apples - peeled, cored, and sliced, 2 tablespoons white sugar, 1 ½ teaspoons ground cinnamon, divided, 1 cup brown sugar, ¾ cup old-fashioned oats, ¾ cup all-purpose flour, ½ cup cold butter",apple peeled cored tablespoon white sugar teaspoon ground cinnamon divided brown sugar old fashioned oat purpose flour cold butter,https://www.allrecipes.com/recipe/229088/apple-crisp-with-oat-topping/,https://www.allrecipes.com/thmb/1tKFVcDXwp8Y_zGAzOoowGVomOk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Apple-Crisp-with-Oat-Topping-70ef9793a177482285f8ed377e692062.jpg
Easy Apple Cider,Drinks Recipes,"1 (64 fluid ounce) bottle apple cider, 3  cinnamon sticks, 1 teaspoon whole allspice, 1 teaspoon whole cloves, ⅓ cup brown sugar",fluid bottle apple cider cinnamon stick whole allspice whole clove brown sugar,https://www.allrecipes.com/recipe/42022/easy-apple-cider/,https://www.allrecipes.com/thmb/fRJDPqthkB2mxnA5VOrG6szvS1Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/158643-2d01a5a0827c44598c89b3bd819d250e.jpg
Apple-Cranberry Crisp,Desserts,"2 pounds Granny Smith apples - peeled, cored and thinly sliced, ¾ cup cranberries, ¼ cup white sugar, 1 tablespoon ground cinnamon, 1 teaspoon ground nutmeg",pound granny smith apple peeled cored thinly cranberry white sugar ground cinnamon ground nutmeg,https://www.allrecipes.com/recipe/41893/apple-cranberry-crisp/,https://www.allrecipes.com/thmb/MjDDFmBWiEx9f1kpSieyThF1KnM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/525977-d5f45adf863d41fba1a1071febfc00ad.jpg
Old-Fashioned Apple Dumplings,Desserts,"1 recipe pastry for double-crust pie, 6 large Granny Smith apples, peeled and cored, ½ cup butter, ¾ cup brown sugar, 1 teaspoon ground cinnamon, ½ teaspoon ground nutmeg, 3 cups water, 2 cups white sugar, 1 teaspoon vanilla extract",recipe pastry double crust pie granny smith apple peeled cored butter brown sugar ground cinnamon ground nutmeg cup water cup white sugar vanilla extract,https://www.allrecipes.com/recipe/46232/old-fashioned-apple-dumplings/,https://www.allrecipes.com/thmb/fBK5I_LpF7CXGzZUJfHTtRnhCac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9411399-215b5cd7d43e451baeadd6ce77e36c6e.jpg
Southern Fried Apples,Side Dish,"½ cup butter, ½ cup white sugar, 2 tablespoons ground cinnamon, 4  Granny Smith apples - peeled, cored, and sliced",butter white sugar tablespoon ground cinnamon granny smith apple peeled cored,https://www.allrecipes.com/recipe/230907/southern-fried-apples/,https://www.allrecipes.com/thmb/j38-5Fxnr9NUifEj3gsaBBkd75k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1049390-361cabad31114328ac20bcc3c35ffce4.jpg
